rank,name,source,installCount,trustScore,verified,benchmarkScore,url
167,flutter,/alinaqi/claude-bootstrap,46,8.7,True,97,https://raw.githubusercontent.com/alinaqi/claude-bootstrap/refs/heads/main/skills/flutter/SKILL.md
168,nextjs-app-router,/TheBushidoCollective/han,46,,False,90,https://raw.githubusercontent.com/TheBushidoCollective/han/refs/heads/main/plugins/frameworks/nextjs/skills/nextjs-app-router/SKILL.md
169,nextjs-modal-integration,/JosiahSiegel/claude-plugin-marketplace,46,,False,,https://raw.githubusercontent.com/JosiahSiegel/claude-plugin-marketplace/refs/heads/main/plugins/nextjs-master/skills/nextjs-modal-integration/SKILL.md
170,github-actions-templates,/wshobson/agents,45,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/cicd-automation/skills/github-actions-templates/SKILL.md
171,embedding-strategies,/wshobson/agents,45,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/llm-application-dev/skills/embedding-strategies/SKILL.md
172,cloudflare-nextjs,/secondsky/claude-skills,45,6.5,True,,https://raw.githubusercontent.com/secondsky/claude-skills/refs/heads/main/plugins/cloudflare-nextjs/skills/cloudflare-nextjs/SKILL.md
173,tailwind-4,/prowler-cloud/prowler,45,7.8,False,98,https://raw.githubusercontent.com/prowler-cloud/prowler/refs/heads/master/skills/tailwind-4/SKILL.md
174,SEO Optimizer,/davila7/claude-code-templates,45,10,True,84,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/business-marketing/seo-optimizer/SKILL.md
175,Hook Development,/anthropics/claude-code,45,8.8,True,83,https://raw.githubusercontent.com/anthropics/claude-code/refs/heads/main/plugins/plugin-dev/skills/hook-development/SKILL.md
176,Command Development,/anthropics/claude-code,45,8.8,True,78,https://raw.githubusercontent.com/anthropics/claude-code/refs/heads/main/plugins/plugin-dev/skills/command-development/SKILL.md
177,quality-documentation-manager,/alirezarezvani/claude-skills,45,8.9,True,75,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/ra-qm-team/quality-documentation-manager/SKILL.md
178,agile-product-owner,/alirezarezvani/claude-skills,45,8.9,True,98,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/product-team/agile-product-owner/SKILL.md
179,polars,/davila7/claude-code-templates,44,10,True,100,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/scientific/polars/SKILL.md
180,backend-patterns,/affaan-m/everything-claude-code,44,9.4,True,72,https://raw.githubusercontent.com/affaan-m/everything-claude-code/refs/heads/main/skills/backend-patterns/SKILL.md
181,ai-elements,/vercel/ai-elements,43,10,,,https://raw.githubusercontent.com/vercel/ai-elements/refs/heads/main/skills/ai-elements/SKILL.md
182,svelte-code-writer,/sveltejs/mcp,43,9.6,True,,https://raw.githubusercontent.com/sveltejs/mcp/refs/heads/main/plugins/svelte/skills/svelte-code-writer/SKILL.md
183,motion,/jezweb/claude-skills,43,9.7,True,72,https://raw.githubusercontent.com/jezweb/claude-skills/refs/heads/main/skills/motion/SKILL.md
184,react-native-best-practices,/callstackincubator/agent-skills,43,8.7,True,82,https://raw.githubusercontent.com/callstackincubator/agent-skills/refs/heads/main/skills/react-native-best-practices/SKILL.md
185,Plugin Structure,/anthropics/claude-code,43,8.8,True,82,https://raw.githubusercontent.com/anthropics/claude-code/refs/heads/main/plugins/plugin-dev/skills/plugin-structure/SKILL.md
186,information-security-manager-iso27001,/alirezarezvani/claude-skills,43,8.9,True,98,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/ra-qm-team/information-security-manager-iso27001/SKILL.md
187,capa-officer,/alirezarezvani/claude-skills,43,8.9,True,100,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/ra-qm-team/capa-officer/SKILL.md
188,nextjs-data-fetching,/TheBushidoCollective/han,43,,False,72,https://raw.githubusercontent.com/TheBushidoCollective/han/refs/heads/main/plugins/frameworks/nextjs/skills/nextjs-data-fetching/SKILL.md
189,backtesting-frameworks,/wshobson/agents,42,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/quantitative-trading/skills/backtesting-frameworks/SKILL.md
190,architecture-decision-records,/wshobson/agents,42,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/documentation-generation/skills/architecture-decision-records/SKILL.md
191,react-email,/resend/react-email,42,9.5,True,97,https://raw.githubusercontent.com/resend/react-email/refs/heads/canary/skills/react-email/SKILL.md
