rank,rankType,officialRank,officialMarketShare,estimatedScore,title,source,libraryId,popularityRank,snippets,tokens,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,docsRepoUrl,docsSiteUrl,score_popularity,score_snippets,score_tokens,score_trust,score_verified,score_recency
91,estimated,,,0.678504,Home Assistant,/home-assistant/home-assistant.io,,363,3785,1723557,2026-03-16T12:21:14.682000Z,20h,10,True,24.8,repo,https://github.com/home-assistant/home-assistant.io,,0.559658,0.572064,0.757415,1.0,1.0,0.972662
92,estimated,,,0.677611,OpenRouter,/llmstxt/openrouter_ai_llms-full_txt,,441,16739,4768473,2026-02-20T23:03:21.576000Z,24d,10,True,82.5,llmstxt,https://openrouter.ai/docs/llms-full.txt,,0.540705,0.675276,0.811091,1.0,1.0,0.551498
93,estimated,,,0.677519,AndroidX,/androidx/androidx,,261,131597,31353779,2026-03-04T11:18:07.985000Z,12d,7.6,,64.5,repo,https://github.com/androidx/androidx,,0.591756,0.818444,0.910426,0.76,0.0,0.699512
94,estimated,,,0.675327,Codex CLI,/openai/codex,,78,357,165686,2026-03-08T12:37:49.837000Z,8d,9.1,True,68,repo,https://github.com/openai/codex,,0.70879,0.408304,0.633884,0.91,1.0,0.772565
95,estimated,,,0.67504,ADK Python,/google/adk-python,,63,298,119080,2026-03-05T22:15:17.053000Z,11d,8.9,True,55,repo,https://github.com/google/adk-python,,0.729345,0.3958,0.616462,0.89,1.0,0.724101
96,estimated,,,0.674374,ASP.NET Core,/dotnet/aspnetcore.docs,,107,9600,3063882,2026-03-10T11:05:09.650000Z,6d,8.3,,84.8,repo,https://github.com/dotnet/aspnetcore.docs,,0.678266,0.636676,0.787759,0.83,0.0,0.813096
97,estimated,,,0.672535,CopilotKit,/copilotkit/copilotkit,,124,1343,413461,2026-03-09T06:35:38.219000Z,8d,8.2,True,77.1,repo,https://github.com/copilotkit/copilotkit,,0.663996,0.500155,0.682117,0.82,1.0,0.787749
98,estimated,,,0.670435,Django,/django/django,,103,7163,2451650,2026-03-05T13:28:15.495000Z,11d,8.8,,87,repo,https://github.com/django/django,,0.681951,0.616346,0.776001,0.88,0.0,0.717761
99,estimated,,,0.66937,Pytest,/pytest-dev/pytest,,122,632,162187,2026-03-10T04:55:56.761000Z,7d,9.5,True,93.1,repo,https://github.com/pytest-dev/pytest,,0.665571,0.447877,0.632758,0.95,1.0,0.807484
100,estimated,,,0.667726,Uv,/astral-sh/uv,,125,542,134061,2026-03-13T14:14:09.549000Z,3d,9.4,True,89.7,repo,https://github.com/astral-sh/uv,,0.663219,0.437228,0.622712,0.94,1.0,0.8885
