rank,rankType,officialRank,officialMarketShare,estimatedScore,title,source,libraryId,popularityRank,snippets,tokens,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,docsRepoUrl,docsSiteUrl,score_popularity,score_snippets,score_tokens,score_trust,score_verified,score_recency
972,estimated,,,0.492214,Feishu OpenPlatform Server SDK,/larksuite/oapi-sdk-java,,3924,31452,3799634,2025-09-18T11:29:17.515000Z,5mo,7.4,,63,repo,https://github.com/larksuite/oapi-sdk-java,,0.327525,0.719067,0.799111,0.74,0.0,0.142939
973,estimated,,,0.492155,Typer,/fastapi/typer,,410,271,81784,2025-12-15T10:03:03.901000Z,3mo,6.6,,86.8,repo,https://github.com/fastapi/typer,,0.547804,0.389229,0.596645,0.66,0.0,0.246024
974,estimated,,,0.492144,Reka UI,/llmstxt/reka-ui_llms-full_txt,,1118,1794,373350,2025-10-12T12:23:23.648000Z,5mo,7.6,,70.8,llmstxt,https://reka-ui.com/llms-full.txt,,0.450029,0.520246,0.676735,0.76,0.0,0.161428
975,estimated,,,0.492015,Whisper,/openai/whisper,,1617,70,15345,2026-02-24T01:42:40.983000Z,21d,9.1,True,79.3,repo,https://github.com/openai/whisper,,0.414032,0.295971,0.50839,0.91,1.0,0.584948
976,estimated,,,0.491953,Magento 2,/magento/magento2,,1809,1370,773719,2026-02-19T18:21:40.676000Z,25d,7.6,,45.2,repo,https://github.com/magento/magento2,,0.403086,0.501536,0.71517,0.76,0.0,0.539637
977,estimated,,,0.491787,Purchases iOS,/revenuecat/purchases-ios,,1791,193,23200,2025-11-05T16:25:04.666000Z,4mo,9.8,True,85.7,repo,https://github.com/revenuecat/purchases-ios,,0.404061,0.365764,0.530192,0.98,1.0,0.185559
978,estimated,,,0.49178,I18n,/fnando/i18n,,7839,3394,949256,2025-08-09T02:17:20.349000Z,7mo,9.7,True,,repo,https://github.com/fnando/i18n,,0.259986,0.564496,0.725955,0.97,1.0,0.119874
979,estimated,,,0.491744,PyAnnote Audio,/pyannote/pyannote-audio,,1694,222,35434,2025-10-21T23:53:15.345000Z,4mo,9.1,True,88.6,repo,https://github.com/pyannote/pyannote-audio,,0.409494,0.375437,0.55253,0.91,1.0,0.170104
980,estimated,,,0.491727,Apache Solr,/apache/solr,,8094,4811,1284094,2025-08-13T23:37:00.448000Z,7mo,9.1,True,,repo,https://github.com/apache/solr,,0.256862,0.588715,0.741891,0.91,1.0,0.122262
981,estimated,,,0.491633,Requests,/psf/requests,,520,242,52963,2026-02-01T02:26:35.338000Z,1mo,7.3,,82.2,repo,https://github.com/psf/requests,,0.524653,0.381401,0.573729,0.73,0.0,0.404007
982,estimated,,,0.491631,Spring Data MongoDB,/spring-projects/spring-data-mongodb,,2445,344,105446,2025-08-01T10:10:56.661000Z,7mo,9.5,True,81.4,repo,https://github.com/spring-projects/spring-data-mongodb,,0.37369,0.405736,0.610049,0.95,1.0,0.116309
983,estimated,,,0.491426,Lo,/samber/lo,,7291,921,207603,2026-03-02T16:40:41.008000Z,14d,9.6,True,85.7,repo,https://github.com/samber/lo,,0.26706,0.473989,0.64578,0.96,1.0,0.671696
984,estimated,,,0.491421,Avo,/avo-hq/docs.avohq.io,,6470,3771,504183,2025-06-04T11:45:38.593000Z,9mo,9.3,True,,repo,https://github.com/avo-hq/docs.avohq.io,,0.27872,0.571807,0.692581,0.93,1.0,0.094976
985,estimated,,,0.491353,OpenTelemetry JS Contrib,/open-telemetry/opentelemetry-js-contrib,,3143,251,80587,2026-02-15T11:44:44.390000Z,29d,9.3,True,79.2,repo,https://github.com/open-telemetry/opentelemetry-js-contrib,,0.349184,0.383926,0.595868,0.93,1.0,0.501098
986,estimated,,,0.49133,InfluxDB 2.0,/influxdata/docs-v2,,3947,18809,3767448,2025-09-05T08:19:30.750000Z,6mo,8.1,,78.8,repo,https://github.com/influxdata/docs-v2,,0.326955,0.683371,0.798662,0.81,0.0,0.134522
987,estimated,,,0.491305,Auth0 Terraform Provider,/auth0/terraform-provider-auth0,,2525,318,83378,2025-11-15T01:28:55.021000Z,4mo,9.5,True,82.5,repo,https://github.com/auth0/terraform-provider-auth0,,0.370549,0.400296,0.597663,0.95,1.0,0.196985
